Training History
===============

Epoch 1:
G_Loss: 0.087974
D_Loss: 1.984314
Val_PSNR: nan
Val_SSIM: nan

Epoch 2:
G_Loss: 0.053577
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 3:
G_Loss: 0.047169
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 4:
G_Loss: 0.044194
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 5:
G_Loss: 0.042294
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 6:
G_Loss: 0.040796
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 7:
G_Loss: 0.039468
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 8:
G_Loss: 0.038247
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 9:
G_Loss: 0.037422
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 10:
G_Loss: 0.037023
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 11:
G_Loss: 0.036614
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 12:
G_Loss: 0.035699
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 13:
G_Loss: 0.035274
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 14:
G_Loss: 0.034910
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 15:
G_Loss: 0.034896
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 16:
G_Loss: 0.034025
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 17:
G_Loss: 0.033842
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 18:
G_Loss: 0.033757
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 19:
G_Loss: 0.033588
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 20:
G_Loss: 0.033880
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 21:
G_Loss: 0.033201
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 22:
G_Loss: 0.032875
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 23:
G_Loss: 0.033156
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 24:
G_Loss: 0.032513
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 25:
G_Loss: 0.032042
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 26:
G_Loss: 0.032349
D_Loss: 2.000000
Val_PSNR: 25.4632
Val_SSIM: 0.718044

Epoch 27:
G_Loss: 0.031940
D_Loss: 2.000000
Val_PSNR: 26.2506
Val_SSIM: 0.742979

Epoch 28:
G_Loss: 0.031942
D_Loss: 2.000000
Val_PSNR: 26.8689
Val_SSIM: 0.754083

Epoch 29:
G_Loss: 0.031449
D_Loss: 2.000000
Val_PSNR: nan
