Training History
===============

Epoch 1:
G_Loss: 0.077496
D_Loss: 1.997932
Val_PSNR: 22.4769
Val_SSIM: 0.685382

Epoch 2:
G_Loss: 0.043327
D_Loss: 2.000000
Val_PSNR: 25.4277
Val_SSIM: 0.776441

Epoch 3:
G_Loss: 0.037145
D_Loss: 2.000000
Val_PSNR: 26.2919
Val_SSIM: 0.804993

Epoch 4:
G_Loss: 0.033665
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 5:
G_Loss: 0.031197
D_Loss: 2.000000
Val_PSNR: 28.4504
Val_SSIM: 0.855063

Epoch 6:
G_Loss: 0.029535
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 7:
G_Loss: 0.028327
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 8:
G_Loss: 0.027346
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 9:
G_Loss: 0.026211
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 10:
G_Loss: 0.025738
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 11:
G_Loss: 0.025344
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 12:
G_Loss: 0.024854
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 13:
G_Loss: 0.023908
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 14:
G_Loss: 0.023904
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 15:
G_Loss: 0.022898
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 16:
G_Loss: 0.022847
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 17:
G_Loss: 0.022352
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 18:
G_Loss: 0.022678
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 19:
G_Loss: 0.022181
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 20:
G_Loss: 0.021497
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 21:
G_Loss: 0.021396
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 22:
G_Loss: 0.021391
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 23:
G_Loss: 0.020968
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 24:
G_Loss: 0.021352
D_Loss: 2.000000
Val_PSNR: 31.0227
Val_SSIM: 0.900703

Epoch 25:
G_Loss: 0.021303
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 26:
G_Loss: 0.020860
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 27:
G_Loss: 0.020343
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 28:
G_Loss: 0.020310
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 29:
G_Loss: 0.019985
D_Loss: 2.000000
