Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
1,0.053360,0.106074,20.9131,0.679738,2.638819,21.0029,0.672259,2.745916,19.7832,0.588399,2.835567
2,0.020371,0.214829,24.0379,0.737699,2.606493,24.6623,0.746320,2.719903,22.8258,0.646042,2.799232
3,0.017237,0.031288,25.6458,0.762867,2.587282,25.8727,0.765206,2.702019,23.6191,0.668564,2.771940
4,0.015287,0.062989,24.4619,0.776357,2.564932,24.6572,0.765903,2.679624,22.9916,0.676603,2.744174
5,0.014634,0.056306,26.8621,0.778789,2.590963,27.1148,0.786175,2.708226,24.2599,0.683778,2.775484
6,0.014273,0.059123,24.8237,0.782061,2.588626,25.4741,0.793099,2.706077,23.2900,0.683659,2.766642
7,0.013775,0.054392,26.3361,0.789354,2.574361,26.6760,0.807241,2.696758,23.9992,0.689685,2.757520
8,0.013509,0.080259,27.5689,0.790889,2.571961,27.6218,0.810533,2.698426,24.5435,0.696145,2.748292
9,0.013001,0.140148,27.3626,0.790047,2.575584,27.4321,0.806375,2.695397,24.5106,0.689883,2.750970
10,0.012912,0.144967,28.1030,0.802128,2.572182,28.0027,0.818724,2.693494,24.8040,0.704750,2.749309
11,0.012625,0.160042,28.2222,0.806489,2.575808,27.9605,0.821253,2.695997,24.7815,0.700215,2.753701
12,0.012469,0.160538,27.7780,0.808654,2.577180,27.8022,0.822171,2.697928,24.7647,0.704767,2.756077
13,0.012163,0.154476,28.2853,0.815964,2.572669,28.0167,0.829763,2.694563,24.8259,0.711944,2.751056
14,0.011930,0.125842,28.6271,0.817429,2.574373,28.2213,0.829197,2.694045,24.9621,0.710316,2.751846
15,0.012060,0.135550,28.2365,0.812173,2.574635,27.8632,0.826960,2.693488,24.7621,0.706750,2.754535
16,0.011941,0.105642,27.5016,0.818481,2.560829,27.2947,0.829371,2.685077,24.4319,0.714481,2.739001
17,0.011807,0.114822,25.2452,0.805699,2.594446,26.1256,0.822444,2.712233,23.8033,0.707377,2.772304
18,0.011645,0.110102,28.9679,0.822922,2.571285,28.4383,0.835938,2.694207,25.1152,0.717352,2.749532
19,0.011572,0.108582,28.2159,0.811064,2.576410,27.9787,0.814779,2.694596,24.9234,0.701720,2.752071
20,0.011477,0.108563,28.2114,0.823519,2.580483,28.4887,0.837820,2.702099,25.1268,0.718300,2.756157
21,0.011494,0.134101,28.6150,0.822483,2.566595,27.9471,0.834446,2.688553,24.7908,0.712654,2.741745
22,0.011278,0.118611,29.2689,0.827675,2.571546,28.5797,0.839490,2.692664,25.2069,0.720707,2.747014
23,0.011281,0.104093,28.0246,0.815721,2.578781,27.8771,0.821387,2.695452,24.8012,0.699107,2.752095
24,0.011073,0.134804,28.9711,0.822414,2.571833,28.2505,0.831731,2.694302,25.0376,0.712446,2.747789
25,0.011080,0.109930,29.2945,0.828352,2.567394,28.6578,0.838243,2.693736,25.2204,0.717875,2.741930
26,0.011085,0.130660,29.0988,0.828845,2.572758,28.7625,0.839754,2.698612,25.2534,0.718601,2.747993
27,0.010978,0.119957,28.9252,0.823293,2.573869,28.5610,0.833968,2.699259,25.1636,0.714630,2.748340
28,0.010854,0.109652,29.1594,0.827463,2.574489,28.6344,0.840967,2.696827,25.2248,0.718685,2.752341
29,0.010760,0.108079,28.1623,0.832218,2.562304,27.7299,0.841690,2.688044,24.6397,0.722095,2.737696
30,0.010600,0.126882,29.1424,0.823003,2.575909,28.5705,0.834701,2.702373,25.1514,0.711840,2.753714
31,0.010646,0.108769,29.3566,0.832024,2.574247,28.7539,0.841598,2.698693,25.2450,0.720847,2.752440
32,0.010540,0.114027,29.2912,0.831244,2.577002,28.7735,0.840430,2.699607,25.2807,0.717679,2.753872
33,0.010613,0.099800,28.9897,0.828536,2.564921,28.0501,0.833148,2.688657,24.7166,0.702569,2.734715
34,0.010455,0.097690,29.3284,0.829337,2.561297,28.3289,0.831610,2.688187,24.9273,0.704544,2.727203
35,0.010654,0.138202,29.3606,0.826393,2.575919,28.5261,0.832395,2.698456,25.0865,0.707246,2.751497
36,0.010213,0.123615,28.9352,0.826647,2.568730,28.1033,0.830954,2.689859,24.8488,0.706063,2.741561
37,0.010278,0.129167,28.8136,0.832945,2.572483,28.5851,0.839221,2.697632,25.1760,0.713825,2.747139
38,0.010223,0.107226,28.9755,0.828340,2.567994,28.1463,0.827304,2.691797,24.8764,0.698921,2.738146
39,0.010163,0.120920,29.3763,0.835701,2.570443,28.5801,0.837243,2.696212,25.1223,0.713110,2.743290
40,0.009980,0.114519,29.2492,0.833322,2.572565,28.5359,0.837571,2.695159,25.1196,0.710919,2.744352
41,0.010027,0.118052,29.3040,0.837346,2.565064,28.5030,0.837605,2.691668,25.0728,0.712368,2.735337
42,0.009966,0.133063,29.3019,0.830919,2.571357,28.3896,0.830880,2.694183,25.0334,0.701973,2.743430
43,0.009969,0.130175,29.4923,0.828994,2.570588,28.3484,0.827305,2.694922,25.0509,0.701747,2.740770
44,0.009783,0.148922,28.7800,0.828966,2.586058,28.4325,0.829703,2.707180,25.1296,0.710317,2.765040
45,0.009883,0.135352,29.7362,0.838534,2.568639,28.4644,0.832875,2.695978,25.0432,0.706266,2.739523
46,0.009822,0.131768,29.3023,0.830961,2.563223,27.8625,0.825029,2.688694,24.5498,0.692939,2.726738
47,0.009634,0.141051,29.5678,0.832360,2.567856,27.9857,0.824327,2.690368,24.7037,0.694297,2.734439
48,0.009776,0.146700,29.6195,0.839896,2.562868,28.2355,0.835909,2.687502,24.9259,0.709165,2.730220
49,0.009563,0.133299,28.7365,0.828226,2.557633,27.7637,0.819489,2.684920,24.5211,0.685237,2.717149
50,0.009704,0.132362,29.7114,0.838507,2.568846,28.4137,0.832767,2.694289,25.0522,0.705826,2.737967
51,0.009449,0.154266,29.3833,0.827993,2.565093,28.0646,0.816073,2.692828,24.7101,0.681912,2.729360
52,0.009386,0.142567,29.1117,0.834151,2.555384,27.5787,0.822969,2.683722,24.3774,0.691764,2.715878
53,0.009453,0.146927,29.1754,0.832315,2.553177,27.4443,0.810873,2.677045,24.2904,0.679369,2.709680
54,0.009439,0.159005,29.7671,0.841840,2.562180,28.2113,0.830607,2.687833,24.9731,0.707352,2.728449
55,0.009290,0.151279,29.0167,0.837480,2.558860,27.3690,0.817719,2.680333,24.3377,0.691196,2.720403
56,0.009330,0.157361,29.4667,0.838869,2.566508,27.9870,0.820488,2.691743,24.7665,0.693762,2.728882
57,0.009206,0.153296,29.4504,0.829919,2.557098,27.5116,0.808141,2.681092,24.5177,0.683108,2.718863
58,0.009171,0.166603,29.8415,0.837248,2.560928,27.8368,0.816004,2.684441,24.6572,0.686208,2.721607
59,0.009093,0.171826,29.8644,0.838914,2.563180,27.8392,0.816109,2.686799,24.6284,0.683487,2.721638
60,0.009085,0.178796,29.7215,0.840864,2.563852,27.8790,0.821204,2.688233,24.7203,0.694080,2.728241
61,0.009039,0.178543,29.6426,0.832103,2.566527,27.8716,0.813453,2.691528,24.7569,0.686525,2.730837
62,0.009035,0.185306,29.7810,0.844034,2.567826,28.2328,0.826725,2.691469,24.8918,0.696916,2.731186
63,0.008971,0.184009,29.7384,0.839804,2.562346,27.8132,0.817046,2.687179,24.6458,0.686843,2.724876
64,0.008933,0.190838,29.2979,0.845507,2.572598,28.2774,0.832461,2.694577,24.8935,0.705346,2.736371
65,0.008918,0.189977,29.9633,0.845237,2.562972,27.8680,0.818914,2.685181,24.7647,0.694879,2.725318
