Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
1,46.805701,0.655107,20.0270,0.376788,2.591074,20.7098,0.371200,2.698123,19.8795,0.336024,2.786053
2,0.024235,0.637337,22.3576,0.508869,2.600882,23.0947,0.514716,2.705152,21.6967,0.464715,2.788257
3,0.019308,0.618447,23.4727,0.579530,2.598948,24.1184,0.585473,2.702165,22.4342,0.524819,2.780253
4,0.017174,0.587004,24.1982,0.620694,2.597696,24.7634,0.626917,2.700831,22.8660,0.559658,2.775783
5,0.015857,0.547453,24.3880,0.642608,2.598845,24.8431,0.643125,2.701658,22.9328,0.576978,2.774363
6,0.015003,0.495930,25.1128,0.668639,2.600213,25.5412,0.670883,2.702016,23.3686,0.596954,2.773699
7,0.014351,0.441383,25.4884,0.686131,2.599233,25.8372,0.688709,2.701023,23.5553,0.610116,2.771535
8,0.013815,0.391397,25.6998,0.697480,2.597581,25.9474,0.700057,2.700008,23.6344,0.620898,2.769888
9,0.013515,0.345542,25.9418,0.710549,2.597224,26.1489,0.713205,2.699534,23.7472,0.629475,2.768725
10,0.013164,0.309622,25.5838,0.714695,2.599486,25.9098,0.720390,2.701235,23.6001,0.634255,2.769946
11,0.012905,0.262903,26.3500,0.725132,2.599271,26.4847,0.729309,2.700928,23.9332,0.640909,2.769392
12,0.012722,0.232364,26.4984,0.732670,2.598436,26.5701,0.736711,2.700659,23.9841,0.646097,2.768802
13,0.012505,0.200678,26.6145,0.738289,2.598322,26.6330,0.741595,2.700921,24.0241,0.649884,2.768883
14,0.012357,0.170624,26.5750,0.740296,2.600651,26.6547,0.744525,2.702612,24.0311,0.652479,2.770207
15,0.012235,0.145188,26.8373,0.746676,2.599025,26.7944,0.749977,2.701485,24.1190,0.656152,2.768906
16,0.012123,0.126994,26.8079,0.750084,2.598176,26.7715,0.754507,2.701134,24.0965,0.658719,2.768467
17,0.012027,0.106343,26.8550,0.752743,2.597775,26.8080,0.757539,2.701036,24.1131,0.660959,2.767994
18,0.011988,0.089714,26.5881,0.752976,2.600284,26.6737,0.758272,2.702787,24.0373,0.661651,2.769462
19,0.011892,0.074393,26.7305,0.751048,2.598747,26.7488,0.753194,2.702117,24.0977,0.663275,2.768225
20,0.011756,0.063918,27.1656,0.762083,2.597966,26.9969,0.765444,2.701511,24.2237,0.666804,2.767781
21,0.011734,0.052684,27.0874,0.763185,2.599803,26.9765,0.765338,2.702991,24.2201,0.667858,2.769137
22,0.011659,0.044192,27.1751,0.766052,2.601011,27.0265,0.768841,2.704211,24.2521,0.669675,2.770530
23,0.011666,0.039501,27.0249,0.766405,2.600790,26.9285,0.770287,2.703966,24.2021,0.670399,2.769669
24,0.011522,0.032882,27.2648,0.769086,2.600233,27.0608,0.771525,2.704021,24.2852,0.672069,2.769486
25,0.011554,0.023932,27.1781,0.771120,2.598755,27.0105,0.774844,2.703107,24.2428,0.673357,2.768976
26,0.011508,0.020469,27.2574,0.771024,2.598387,27.0758,0.776245,2.702568,24.2623,0.674583,2.768645
27,0.011494,0.016824,27.4643,0.773375,2.599377,27.1818,0.776317,2.703556,24.3367,0.675957,2.769335
28,0.011448,0.012616,27.1242,0.774347,2.596569,26.9972,0.778731,2.701530,24.2233,0.676472,2.767120
29,0.011436,0.011009,27.4277,0.776012,2.599958,27.1857,0.779920,2.704445,24.3310,0.677075,2.769527
30,0.011337,0.007768,27.5854,0.777069,2.599224,27.2676,0.779802,2.703794,24.3948,0.678284,2.768378
31,0.011328,0.005432,27.4735,0.779031,2.601226,27.2081,0.781473,2.705791,24.3486,0.679073,2.771034
32,0.011319,0.004120,27.7869,0.782074,2.599450,27.3534,0.784882,2.704028,24.4299,0.680805,2.769718
33,0.011294,0.003964,27.4407,0.779693,2.597545,27.1857,0.784640,2.702279,24.3449,0.680929,2.767999
34,0.011260,0.001867,27.7156,0.780526,2.598296,27.3396,0.786593,2.703062,24.4245,0.681761,2.768376
35,0.011259,0.001821,27.7473,0.782802,2.600644,27.3592,0.785850,2.705037,24.4460,0.682049,2.770499
36,0.011255,0.001002,27.6327,0.784304,2.597952,27.3160,0.788467,2.702851,24.4096,0.683320,2.767966
37,0.011276,0.000680,27.7262,0.785837,2.597502,27.3750,0.790153,2.702892,24.4496,0.684439,2.768159
38,0.011247,0.001029,27.8749,0.785676,2.599632,27.4370,0.790440,2.704821,24.4791,0.684605,2.770126
39,0.011179,0.000426,27.4324,0.783814,2.600561,27.2409,0.788987,2.705118,24.3782,0.684076,2.770159
40,0.011153,0.000679,27.1802,0.785273,2.598897,27.1058,0.789507,2.704520,24.2772,0.685335,2.769149
41,0.011217,0.000168,27.6337,0.788405,2.600664,27.3502,0.791010,2.705506,24.4577,0.685749,2.770226
42,0.011127,0.000215,27.7512,0.787338,2.600742,27.4246,0.793732,2.705849,24.4937,0.687115,2.770781
43,0.011176,0.000085,27.7004,0.787432,2.599733,27.4222,0.794530,2.705116,24.4964,0.687550,2.770244
44,0.011133,0.000210,28.0617,0.790847,2.598844,27.5742,0.796675,2.704447,24.5754,0.689273,2.769105
45,0.011091,0.003358,27.2473,0.776879,2.598598,27.1680,0.781841,2.704730,24.3687,0.687012,2.769590
46,0.011099,0.000042,27.8515,0.790949,2.598230,27.4871,0.798050,2.704255,24.5259,0.689826,2.769161
47,0.011036,0.002628,28.1633,0.795188,2.600502,27.6526,0.800449,2.706485,24.6268,0.691498,2.771845
48,0.011050,0.000026,28.1638,0.794878,2.597945,27.6666,0.801217,2.704140,24.6363,0.691990,2.768361
49,0.010975,0.002396,27.6596,0.785581,2.599787,27.4796,0.791762,2.705675,24.5463,0.690984,2.770328
50,0.010969,0.005252,27.9491,0.793958,2.601464,27.6152,0.801383,2.707430,24.6307,0.693269,2.772066
51,0.010897,0.000548,27.9827,0.795061,2.595999,27.6645,0.803888,2.702934,24.6412,0.693863,2.766259
52,0.010913,0.010280,28.2832,0.798062,2.599741,27.7988,0.805615,2.706741,24.7259,0.694686,2.771508
53,0.010875,0.000010,27.8343,0.796252,2.593286,27.5870,0.804318,2.701187,24.6185,0.694237,2.763720
54,0.010810,0.000007,28.2872,0.799692,2.600270,27.8699,0.807956,2.706439,24.7712,0.697089,2.770633
55,0.010752,0.005932,27.3138,0.794582,2.595068,27.3615,0.805011,2.703394,24.5094,0.695764,2.766875
56,0.010754,0.000008,28.1084,0.798846,2.598951,27.8165,0.808106,2.705724,24.7515,0.697891,2.768788
57,0.010691,0.000006,28.4064,0.802097,2.601107,27.9741,0.812485,2.707663,24.8247,0.700192,2.771717
58,0.010627,0.018004,28.6047,0.805342,2.597951,28.0661,0.814840,2.706124,24.8808,0.701430,2.768917
59,0.010626,0.007760,28.1137,0.796381,2.596609,27.8986,0.811298,2.704086,24.7895,0.700794,2.765544
60,0.010600,0.005060,28.6521,0.803017,2.597597,28.1094,0.811772,2.705300,24.9293,0.703520,2.767626
61,0.010529,0.008079,28.3344,0.805425,2.597135,28.0502,0.815984,2.703867,24.8914,0.702342,2.767535
62,0.010527,0.000014,28.0763,0.804709,2.600627,27.9576,0.817239,2.706908,24.8076,0.703905,2.770161
63,0.010430,0.017483,28.4481,0.803652,2.593363,28.0993,0.816361,2.702292,24.9153,0.702387,2.764234
64,0.010377,0.017217,28.6480,0.810619,2.595910,28.2081,0.821215,2.704583,24.9900,0.706788,2.765872
65,0.010369,0.000016,28.4312,0.806619,2.599770,28.2316,0.821994,2.706786,24.9709,0.706367,2.770035
66,0.010327,0.032316,28.1252,0.802329,2.598009,28.0070,0.815281,2.705015,24.8772,0.704765,2.766629
67,0.010225,0.021571,28.8591,0.813870,2.595284,28.3407,0.824793,2.704117,25.0644,0.709008,2.765520
68,0.010248,0.011655,28.7359,0.811874,2.596400,28.3161,0.824478,2.705684,25.0414,0.709106,2.767119
69,0.010174,0.009730,28.4901,0.812394,2.597728,28.2448,0.826199,2.705974,25.0187,0.710238,2.767124
70,0.010164,0.018593,28.6747,0.810780,2.595238,28.3197,0.824772,2.702356,25.0305,0.709516,2.763630
71,0.010109,0.023201,28.9737,0.815527,2.596110,28.4402,0.828199,2.704931,25.1147,0.711064,2.766766
72,0.010053,0.032655,28.6719,0.814558,2.592807,28.3765,0.827694,2.701912,25.0942,0.711678,2.762661
73,0.010059,0.005543,28.0886,0.813211,2.599931,28.0671,0.826764,2.708848,24.9832,0.709514,2.769985
74,0.009956,0.010452,28.8006,0.814511,2.593131,28.4060,0.828260,2.702462,25.1161,0.711775,2.763671
75,0.009967,0.006540,28.5459,0.809645,2.595902,28.1798,0.824167,2.705808,24.9535,0.705764,2.766307
76,0.009979,0.018210,29.0908,0.817418,2.593748,28.5533,0.830723,2.703348,25.2071,0.712980,2.764575
77,0.009945,0.023191,29.0035,0.817097,2.593431,28.5351,0.831601,2.702931,25.1754,0.712804,2.763774
78,0.009892,0.004062,29.1902,0.820899,2.592102,28.6099,0.833096,2.701756,25.2300,0.715055,2.761865
79,0.009897,0.008871,29.0356,0.820748,2.589964,28.5971,0.832990,2.700521,25.2205,0.715302,2.759709
80,0.009794,0.089224,28.9352,0.821590,2.590111,28.5197,0.833465,2.699663,25.2004,0.715253,2.760517
81,0.009790,0.007545,28.9199,0.820063,2.594385,28.5216,0.832984,2.704220,25.1782,0.714292,2.764443
82,0.009779,0.057860,29.3400,0.823267,2.593456,28.6825,0.834593,2.703113,25.2740,0.715785,2.763343
83,0.009716,0.000088,29.1686,0.820694,2.591779,28.6422,0.831497,2.701468,25.2735,0.715609,2.761010
84,0.009639,0.005517,28.6723,0.822541,2.588707,28.4121,0.834581,2.699660,25.1174,0.715482,2.758591
85,0.009680,0.047847,29.3806,0.825670,2.592450,28.7376,0.836404,2.702637,25.3115,0.717790,2.762676
86,0.009604,0.000006,29.2651,0.823981,2.592955,28.6937,0.836527,2.703295,25.2971,0.717144,2.763258
