Training History
===============

Epoch 1:
G_Loss: 0.078089
D_Loss: 1.999501
Val_PSNR: 23.5194
Val_SSIM: 0.655249

Epoch 2:
G_Loss: 0.047834
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 3:
G_Loss: 0.042097
D_Loss: 2.000000
Val_PSNR: 24.4479
Val_SSIM: 0.715520

Epoch 4:
G_Loss: 0.039107
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 5:
G_Loss: 0.037273
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 6:
G_Loss: 0.035767
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 7:
G_Loss: 0.034273
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 8:
G_Loss: 0.033570
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 9:
G_Loss: 0.032707
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 10:
G_Loss: 0.032014
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 11:
G_Loss: 0.031559
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 12:
G_Loss: 0.030928
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 13:
G_Loss: 0.030572
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 14:
G_Loss: 0.030125
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 15:
G_Loss: 0.029418
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 16:
G_Loss: 0.029503
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 17:
G_Loss: 0.029433
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 18:
G_Loss: 0.028611
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 19:
G_Loss: 0.028483
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 20:
G_Loss: 0.028398
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 21:
G_Loss: 0.027887
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 22:
G_Loss: 0.028603
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 23:
G_Loss: 0.028234
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 24:
G_Loss: 0.028152
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 25:
G_Loss: 0.027915
D_Loss: 2.000000
Val_PSNR: nan
Val_SSIM: nan

Epoch 26:
G_Loss: 0.027630
D_Loss: 2.000000
Val_PSNR: 27.2004
Val_SSIM: 0.790768

Epoch 27:
G_Loss: 0.027127
D_Loss: 2.000000
Val_PSNR: 29.8255
Val_SSIM: 0.850465

Epoch 28:
G_Loss: 0.026902
D_Loss: 2.000000
Val_PSNR: 28.1960
Val_SSIM: 0.827772

Epoch 29:
G_Loss: 0.026591
D_Loss: 2.000000
